timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687541291901,128,/api/v2/location/pastoria-city,200,OK,PokeApi - run 1-3,text,true,,1607,144,10,10,https://pokeapi.co/api/v2//location/pastoria-city,128,0,109
1687541291901,128,/api/v2/location/eterna-city,200,OK,PokeApi - run 1-1,text,true,,1690,142,10,10,https://pokeapi.co/api/v2//location/eterna-city,128,0,109
1687541291901,130,/api/v2/location/pastoria-city,200,OK,PokeApi - run 1-6,text,true,,1621,144,10,10,https://pokeapi.co/api/v2//location/pastoria-city,130,0,110
1687541291901,133,/api/v2/location/canalave-city,200,OK,PokeApi - run 1-2,text,true,,1612,144,10,10,https://pokeapi.co/api/v2//location/canalave-city,133,0,110
1687541291902,132,/api/v2/location/canalave-city,200,OK,PokeApi - run 1-7,text,true,,1614,144,10,10,https://pokeapi.co/api/v2//location/canalave-city,132,0,113
1687541291902,138,/api/v2/location/pastoria-city,200,OK,PokeApi - run 1-9,text,true,,1615,144,10,10,https://pokeapi.co/api/v2//location/pastoria-city,138,0,117
1687541291901,139,/api/v2/location/eterna-city,200,OK,PokeApi - run 1-4,text,true,,1692,142,10,10,https://pokeapi.co/api/v2//location/eterna-city,139,0,114
1687541291902,142,/api/v2/location/canalave-city,200,OK,PokeApi - run 1-10,text,true,,1614,144,10,10,https://pokeapi.co/api/v2//location/canalave-city,142,0,121
1687541291902,142,/api/v2/location/eterna-city,200,OK,PokeApi - run 1-8,text,true,,1704,142,10,10,https://pokeapi.co/api/v2//location/eterna-city,142,0,121
1687541292030,21,/api/v2/location-area/eterna-city-area,200,OK,PokeApi - run 1-1,text,true,,14455,152,10,10,https://pokeapi.co/api/v2/location-area/eterna-city-area,20,0,0
1687541292030,22,/api/v2/location-area/pastoria-city-area,200,OK,PokeApi - run 1-3,text,true,,15663,154,10,10,https://pokeapi.co/api/v2/location-area/pastoria-city-area,20,0,0
1687541292031,22,/api/v2/location-area/pastoria-city-area,200,OK,PokeApi - run 1-6,text,true,,15669,154,10,10,https://pokeapi.co/api/v2/location-area/pastoria-city-area,21,0,0
1687541292034,20,/api/v2/location-area/canalave-city-area,200,OK,PokeApi - run 1-7,text,true,,15989,154,10,10,https://pokeapi.co/api/v2/location-area/canalave-city-area,20,0,0
1687541292034,21,/api/v2/location-area/canalave-city-area,200,OK,PokeApi - run 1-2,text,true,,15987,154,10,10,https://pokeapi.co/api/v2/location-area/canalave-city-area,20,0,0
1687541292040,21,/api/v2/location-area/pastoria-city-area,200,OK,PokeApi - run 1-9,text,true,,15661,154,10,10,https://pokeapi.co/api/v2/location-area/pastoria-city-area,20,0,0
