timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687279293376,391,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,391,0,97
1687279293870,294,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,294,0,0
1687279294176,295,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,295,0,0
1687279294481,294,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,294,0,0
1687279294781,299,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,299,0,0
1687279295090,311,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,303,0,0
1687279295411,298,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,298,0,0
1687279295717,293,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,293,0,0
1687279296017,293,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,293,0,0
1687279296318,292,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,292,0,0
1687279296619,306,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,299,0,0
1687279296931,294,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,294,0,0
1687279297232,307,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,307,0,0
1687279297546,306,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,306,0,0
1687279297859,293,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,293,0,0
1687279298160,302,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,295,0,0
1687279298468,306,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,306,0,0
1687279298784,290,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,290,0,0
1687279299078,294,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,294,0,0
1687279299380,292,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,292,0,0
1687279299678,303,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,293,0,0
1687279299987,296,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,296,0,0
1687279300289,297,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,297,0,0
1687279300592,305,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,305,0,0
1687279300902,294,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,294,0,0
1687279301203,309,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,301,0,0
1687279301518,297,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,297,0,0
1687279301819,295,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,295,0,0
1687279302119,297,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,297,0,0
1687279302422,291,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,291,0,0
1687279302719,301,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,294,0,0
1687279303023,292,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,292,0,0
1687279303318,291,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,291,0,0
1687279303614,318,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,318,0,0
1687279303938,295,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,295,0,0
1687279304240,303,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,295,0,0
1687279304547,293,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,293,0,0
1687279304844,292,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,292,0,0
1687279305141,295,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,295,0,0
1687279305440,300,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,300,0,0
1687279305746,302,Find Character : Lisa,200,OK,Ej1. RequestSinson 1-1,text,true,,3187,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Lisa,297,0,0
1687279306050,295,Find Character : Bart,200,OK,Ej1. RequestSinson 1-1,text,true,,1892,148,1,1,https://apisimpsons.fly.dev/api/personajes/find/Bart,295,0,0
1687279306350,293,Find Character : Apu,200,OK,Ej1. RequestSinson 1-1,text,true,,1144,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Apu,293,0,0
1687279306651,292,Find Character : Maude,200,OK,Ej1. RequestSinson 1-1,text,true,,887,149,1,1,https://apisimpsons.fly.dev/api/personajes/find/Maude,292,0,0
1687279306948,310,Find Character : Ned,200,OK,Ej1. RequestSinson 1-1,text,true,,1157,147,1,1,https://apisimpsons.fly.dev/api/personajes/find/Ned,310,0,0
