timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687427538015,1442,Find Pokemon : mew,200,OK,Ej3. RequestPokemon 1-2,text,true,,562470,133,2,2,https://pokeapi.co/api/v2/pokemon/mew,1365,0,1335
1687427538014,1425,Find Pokemon : clefairy,200,OK,Ej3. RequestPokemon 1-1,text,true,,309575,138,2,2,https://pokeapi.co/api/v2/pokemon/clefairy,1366,0,1336
1687427539493,27,Find Pokemon with : cute-charm,200,OK,Ej3. RequestPokemon 1-1,text,true,,21400,140,2,2,https://pokeapi.co/api/v2/ability/cute-charm,27,0,0
1687427539493,27,Find Pokemon with : synchronize,200,OK,Ej3. RequestPokemon 1-2,text,true,,24341,141,2,2,https://pokeapi.co/api/v2/ability/synchronize,27,0,0
1687427539524,38,Request for Pokemon : clefairy,200,OK,Ej3. RequestPokemon 1-1,text,true,,309569,138,2,2,https://pokeapi.co/api/v2/pokemon/clefairy,21,0,0
1687427539524,54,Request for Pokemon : abra,200,OK,Ej3. RequestPokemon 1-2,text,true,,221038,134,2,2,https://pokeapi.co/api/v2/pokemon/abra,48,0,0
1687427539563,29,Request for Pokemon : clefable,200,OK,Ej3. RequestPokemon 1-1,text,true,,273035,138,2,2,https://pokeapi.co/api/v2/pokemon/clefable,21,0,0
1687427539579,33,Request for Pokemon : kadabra,200,OK,Ej3. RequestPokemon 1-2,text,true,,254644,137,2,2,https://pokeapi.co/api/v2/pokemon/kadabra,23,0,0
1687427539592,53,Request for Pokemon : jigglypuff,200,OK,Ej3. RequestPokemon 1-1,text,true,,298385,140,2,2,https://pokeapi.co/api/v2/pokemon/jigglypuff,32,0,0
1687427539613,37,Request for Pokemon : alakazam,200,OK,Ej3. RequestPokemon 1-2,text,true,,264928,138,2,2,https://pokeapi.co/api/v2/pokemon/alakazam,32,0,0
1687427539646,42,Request for Pokemon : wigglytuff,200,OK,Ej3. RequestPokemon 1-1,text,true,,277202,140,2,2,https://pokeapi.co/api/v2/pokemon/wigglytuff,25,0,0
1687427539651,55,Request for Pokemon : mew,200,OK,Ej3. RequestPokemon 1-2,text,true,,562460,133,2,2,https://pokeapi.co/api/v2/pokemon/mew,22,0,0
